ax,ay,az,gx,gy,gz,sequence_id
1.35,-1.53,9.12,0.04,0.48,-0.22,0
2.32,-1.51,8.85,-0.15,0.13,-0.18,0
1.87,-1.41,9.13,-0.08,0.31,-0.19,0
2.58,-1.32,9.33,-0.11,0.08,-0.02,0
1.95,-1.47,8.59,-0.04,0.11,0.05,0
1.85,-1.51,8.94,0.14,0.03,0.1,0
2.24,-1.39,9.74,-0.08,0.1,0.05,0
1.19,-1.34,8.48,-0.02,0.05,0.17,0
1.73,-1.61,9.05,-0.04,0.0,0.06,0
0.7,-1.32,8.41,0.17,0.01,-0.06,0
1.19,-1.58,9.36,0.21,0.09,-0.14,0
1.9,-1.3,9.58,0.08,0.05,-0.07,0
1.41,-1.5,8.48,0.04,0.2,-0.0,0
0.94,-1.51,8.94,0.21,-0.33,0.01,0
1.53,-1.24,9.69,0.2,-0.18,-0.2,0
1.82,-1.14,8.98,0.13,-0.11,-0.13,0
1.67,-1.04,9.88,0.11,0.08,0.01,0
1.59,-1.19,9.13,-0.1,0.07,-0.1,0
1.39,-1.23,8.81,0.01,0.17,-0.11,0
1.33,-1.18,8.77,0.18,-0.06,-0.21,0
1.85,-0.91,9.1,0.26,-0.15,-0.2,0
2.1,-0.68,9.5,0.09,-0.15,-0.17,0
1.67,-0.94,9.08,0.03,-0.02,-0.08,0
1.62,-0.88,8.87,0.1,-0.02,-0.15,0
1.92,-0.81,9.09,0.11,0.02,-0.18,0
2.29,-0.73,9.19,0.07,0.06,-0.15,0
2.26,-0.74,9.1,0.06,0.24,-0.1,0
1.87,-0.76,9.83,0.2,0.27,-0.07,0
2.83,-0.53,11.55,0.13,0.42,-0.12,0
3.87,-0.77,13.48,0.07,1.42,-0.08,0
3.71,-0.19,17.89,-0.73,1.58,0.16,0
4.37,1.33,16.79,-2.13,1.69,0.4,0
3.14,1.61,14.61,-3.42,2.77,0.38,0
3.0,2.19,10.17,-3.97,1.76,0.58,0
1.01,2.44,9.8,-4.28,2.3,0.68,0
1.05,2.98,5.52,-5.11,2.02,1.01,0
-2.65,1.84,1.79,-5.12,2.18,1.08,0
-5.35,0.01,-3.24,-4.66,1.73,0.86,0
-6.49,-1.81,-6.79,-4.54,2.27,0.32,0
-7.38,-4.88,-14.12,-2.66,0.32,0.12,0
1.38,-0.62,9.26,0.03,0.0,-0.12,1
1.0,-0.67,8.97,-0.01,0.08,-0.1,1
1.31,-0.54,8.96,0.07,0.04,-0.19,1
1.62,-0.43,9.31,0.07,0.04,-0.14,1
1.52,-0.42,8.97,0.02,0.04,-0.09,1
1.49,-0.25,9.25,0.14,0.03,-0.09,1
1.87,-0.2,9.79,0.05,0.01,-0.02,1
1.44,-0.37,9.08,0.01,0.06,0.05,1
1.31,-0.3,9.59,0.03,0.03,0.02,1
1.37,-0.36,9.31,-0.02,0.03,0.07,1
0.77,-0.45,9.42,-0.01,0.01,0.06,1
0.99,-0.48,9.26,-0.05,0.03,0.01,1
1.04,-0.45,9.06,-0.04,0.07,0.02,1
0.74,-0.34,9.22,0.0,0.06,-0.03,1
1.03,-0.44,9.34,-0.02,0.05,-0.03,1
1.09,-0.51,8.84,0.01,-0.03,-0.06,1
1.06,-0.45,8.86,0.07,0.03,-0.07,1
1.41,-0.38,8.97,0.08,0.0,-0.05,1
0.74,-0.36,8.77,0.12,0.05,-0.05,1
0.8,-0.33,9.03,0.2,0.01,-0.2,1
0.79,-0.32,9.14,0.21,0.05,-0.22,1
0.97,-0.11,9.48,0.23,0.11,-0.33,1
1.67,-0.07,10.35,0.16,0.32,-0.3,1
1.38,0.1,11.83,0.09,0.4,-0.42,1
3.7,0.76,15.05,-0.33,1.22,-0.48,1
5.05,1.69,17.65,-1.41,1.26,-0.11,1
5.35,2.94,15.76,-2.78,2.18,0.19,1
3.52,2.98,14.15,-3.73,2.4,0.72,1
0.09,2.72,12.16,-4.48,2.14,1.05,1
-1.94,2.41,7.9,-5.16,2.35,0.75,1
-3.83,2.03,4.48,-5.2,1.72,0.6,1
-4.34,2.18,1.98,-5.31,1.82,0.19,1
-4.21,2.45,-1.85,-5.83,2.43,-0.27,1
-4.57,0.53,-9.95,-5.32,2.05,-0.32,1
-4.7,-2.15,-15.26,-3.32,0.3,-0.29,1
-5.03,-4.13,-13.45,-1.59,-0.33,-0.1,1
-4.53,-5.45,-14.32,-0.76,-0.14,-0.14,1
-4.29,-5.84,-10.06,0.01,-0.17,-0.02,1
-4.69,-6.62,-8.43,0.3,-0.14,0.25,1
-5.67,-6.79,-6.49,0.44,-0.17,0.23,1
-5.68,-6.84,-4.88,0.29,0.08,0.06,1
-5.36,-6.9,-4.66,0.21,0.01,0.05,1
-5.51,-6.7,-4.86,0.2,-0.13,0.01,1
0.97,-0.12,9.88,-0.01,0.07,0.14,2
0.89,-0.11,9.31,-0.1,0.06,0.05,2
1.31,-0.09,8.75,-0.06,0.11,0.09,2
1.27,-0.09,8.47,0.05,0.01,0.19,2
1.27,-0.03,8.73,0.11,0.05,0.22,2
0.58,-0.09,9.15,0.14,0.05,0.21,2
0.43,-0.23,9.3,0.19,0.07,0.05,2
