ax,ay,az,gx,gy,gz,sequence_id
2.26,-1.57,8.33,-0.46,0.64,0.11,0
1.44,-1.27,6.83,-0.5,1.1,0.06,0
0.88,-1.05,6.01,-0.01,0.32,0.01,0
1.32,0.54,14.16,1.26,-0.96,0.04,0
1.03,-0.14,12.62,-0.38,0.01,-0.16,0
2.17,-0.77,7.3,-0.59,0.4,-0.25,0
1.36,-0.68,9.51,0.34,0.08,-0.08,0
1.79,-0.38,10.85,-0.01,-0.02,-0.01,0
1.48,-0.76,8.39,-0.09,0.04,0.01,0
1.25,-0.95,8.22,0.14,0.12,-0.06,0
1.47,-0.59,9.89,0.19,0.04,-0.1,0
1.46,-0.33,10.01,0.02,0.01,-0.06,0
1.66,-0.42,8.83,-0.06,0.05,-0.0,0
1.01,-0.55,9.26,0.17,-0.11,0.01,0
1.67,-0.37,9.28,0.13,0.0,-0.12,0
1.64,-0.14,9.91,0.02,-0.27,0.01,0
1.76,-0.47,8.49,-0.05,0.06,-0.06,0
1.73,-0.24,8.89,0.1,0.05,-0.02,0
1.3,-0.16,9.26,0.22,-0.04,0.04,0
1.34,-0.09,9.78,0.08,-0.06,-0.04,0
1.91,-0.06,9.6,-0.01,0.02,-0.03,0
1.36,-0.11,8.97,0.02,-0.12,0.0,0
2.29,-0.7,10.38,-0.08,0.24,-0.01,0
1.25,-1.21,10.03,0.06,-0.0,0.1,0
2.83,0.13,16.37,-0.03,0.12,-0.15,0
5.8,2.3,22.83,-0.36,-0.79,0.12,0
5.45,4.88,22.78,-2.53,-0.33,0.99,0
3.49,6.33,19.0,-4.13,-0.25,1.29,0
1.14,7.27,15.17,-5.42,-1.38,1.54,0
0.45,7.11,7.45,-6.5,-0.38,1.65,0
-0.61,5.84,0.39,-6.63,-0.47,1.74,0
-1.6,2.22,-6.41,-5.94,0.57,1.55,0
-1.79,-1.32,-8.96,-4.44,0.18,0.96,0
-1.78,-4.31,-12.11,-2.76,-0.27,0.78,0
-1.87,-6.79,-12.86,-1.37,0.01,0.71,0
-3.62,-8.75,-12.46,-0.32,0.0,0.53,0
1.93,1.3,9.02,0.03,0.12,-0.1,1
1.5,1.29,8.68,0.11,-0.09,0.03,1
1.34,1.33,9.12,0.16,-0.01,-0.05,1
1.53,1.45,9.14,0.12,0.06,-0.1,1
1.75,1.52,9.42,0.1,-0.04,-0.03,1
1.54,1.62,9.3,0.04,-0.03,0.02,1
1.46,1.55,9.33,0.0,-0.02,0.02,1
1.47,1.46,8.93,-0.02,0.04,0.02,1
1.2,1.48,9.09,0.02,-0.03,0.02,1
1.3,1.52,9.07,-0.02,0.02,-0.01,1
1.27,1.54,8.98,0.01,-0.01,-0.05,1
1.51,1.5,9.04,0.01,-0.02,-0.03,1
1.44,1.59,9.15,-0.0,0.0,-0.04,1
1.27,1.49,9.22,0.01,-0.05,0.01,1
1.24,1.47,9.1,-0.06,0.02,-0.02,1
1.31,1.58,9.06,0.0,-0.05,-0.06,1
1.52,1.53,9.33,-0.01,-0.08,-0.01,1
1.46,1.44,9.1,-0.02,-0.09,-0.02,1
1.42,1.39,8.94,-0.0,-0.19,0.01,1
1.39,1.42,9.05,0.01,-0.03,-0.03,1
1.58,1.44,9.21,0.05,-0.06,-0.07,1
1.54,1.41,9.73,0.0,-0.08,-0.04,1
1.57,1.26,11.12,-0.11,-0.13,-0.07,1
2.64,2.64,15.42,-0.42,0.07,-0.39,1
3.75,3.88,19.34,-1.38,0.09,-0.01,1
3.51,4.66,20.67,-2.58,-0.28,0.41,1
3.61,5.14,17.71,-4.01,-0.16,0.85,1
3.21,5.75,14.28,-5.11,-0.41,1.04,1
2.5,5.85,10.78,-5.95,0.09,1.28,1
1.08,5.21,5.31,-6.51,0.42,1.25,1
0.32,2.86,0.01,-6.27,0.8,1.17,1
-0.7,-0.61,-6.06,-5.41,1.06,0.79,1
